ID,Type,Duration(ms)
825,Conv2DBackpropInput,0.30550600000000006
826,Conv2DBackpropFilter,0.09886199999999999
827,Add,0.009519999999999999
828,ReluGrad,0.01408
829,A_BNTrainingUpdateGrad,0.254605
830,A_BNTrainingReduceGrad,0.43988900000000003
831,Conv2DBackpropInput,0.28520500000000004
832,Conv2DBackpropFilter,0.124442
834,A_BNTrainingUpdateGrad,0.121862
835,A_BNTrainingReduceGrad,0.08252200000000001
836,Conv2DBackpropInput,0.461688
837,Conv2DBackpropFilter,0.14252199999999998
839,A_BNTrainingUpdateGrad,0.122042
840,A_BNTrainingReduceGrad,0.082662
841,Conv2DBackpropInput,0.309467
842,Conv2DBackpropFilter,0.09888200000000001
843,Add,0.00948
844,ReluGrad,0.013859999999999999
845,A_BNTrainingUpdateGrad,0.25560499999999997
846,A_BNTrainingReduceGrad,0.440189
847,Conv2DBackpropInput,0.28454499999999994
848,Conv2DBackpropFilter,0.127082
850,A_BNTrainingUpdateGrad,0.12194200000000001
851,A_BNTrainingReduceGrad,0.082702
852,Conv2DBackpropInput,0.46394799999999997
853,Conv2DBackpropFilter,0.144862
855,A_BNTrainingUpdateGrad,0.121562
856,A_BNTrainingReduceGrad,0.082662
857,Conv2DBackpropInput,0.306226
858,Conv2DBackpropFilter,0.09892100000000001
859,Add,0.00962
860,ReluGrad,0.014181
861,A_BNTrainingUpdateGrad,0.254865
862,A_BNTrainingReduceGrad,0.43994900000000003
863,Conv2DBackpropInput,0.289385
864,Conv2DBackpropFilter,0.123642
866,A_BNTrainingUpdateGrad,0.121542
867,A_BNTrainingReduceGrad,0.08332200000000001
868,Conv2DBackpropInput,0.463469
869,Conv2DBackpropFilter,0.143984
871,A_BNTrainingUpdateGrad,0.121742
872,A_BNTrainingReduceGrad,0.082782
873,Conv2DBackpropInput,0.30594600000000005
874,Conv2DBackpropFilter,0.09670100000000001
875,Add,0.00948
876,ReluGrad,0.014119999999999999
877,A_BNTrainingUpdateGrad,0.25560499999999997
878,A_BNTrainingReduceGrad,0.44350900000000004
879,Conv2DBackpropInput,0.285105
880,Conv2DBackpropFilter,0.13464299999999998
882,A_BNTrainingUpdateGrad,0.121262
883,A_BNTrainingReduceGrad,0.08294199999999999
884,Conv2DBackpropInput,0.46430899999999997
885,Conv2DBackpropFilter,0.143044
887,A_BNTrainingUpdateGrad,0.12148199999999999
888,A_BNTrainingReduceGrad,0.082702
889,Conv2DBackpropInput,0.30574699999999994
890,Conv2DBackpropFilter,0.096801
891,Add,0.01236
892,ReluGrad,0.01408
893,A_BNTrainingUpdateGrad,0.254625
894,A_BNTrainingReduceGrad,0.439649
895,Conv2DBackpropInput,0.28756500000000007
896,Conv2DBackpropFilter,0.125242
898,A_BNTrainingUpdateGrad,0.121742
899,A_BNTrainingReduceGrad,0.08238200000000001
900,Conv2DBackpropInput,0.46109
901,Conv2DBackpropFilter,0.141282
903,A_BNTrainingUpdateGrad,0.122142
904,A_BNTrainingReduceGrad,0.08308199999999999
905,Conv2DBackpropInput,0.30512599999999995
